board,title,ws_board,per_page,pages,max_filesize,max_webm_filesize,max_comment_chars,max_webm_duration,bump_limit,image_limit,cooldowns,meta_description,is_archived
3,3DCG,1,15,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/3/ - 3DCG&quot; is 4chan's board for 3D modeling and imagery.,1
a,Anime & Manga,1,15,10,4194304,4194304,2000,120,500,300,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/a/ - Anime &amp; Manga&quot; is 4chan's imageboard dedicated to the discussion of Japanese animation and manga.,1,1,1
aco,Adult Cartoons,0,15,10,4194304,4194304,2000,120,300,300,"{'threads': 600, 'replies': 60, 'images': 30}",&quot;/aco/ - Adult Cartoons&quot; is 4chan's imageboard for posting western-styled adult cartoon artwork.,1
adv,Advice,1,15,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/adv/ - Advice&quot; is 4chan's board for giving and receiving advice. ,1
an,Animals & Nature,1,15,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}","&quot;/an/ - Animals &amp; Nature&quot; is 4chan's imageboard for posting pictures of animals, pets, and nature.",1
b,Random,0,15,10,2097152,2097152,2000,120,300,150,"{'threads': 90, 'replies': 30, 'images': 30}","&quot;/b/ - Random&quot; is the birthplace of Anonymous, and where people go to discuss random topics and create memes on 4chan."
bant,International/Random,0,15,10,2097152,2097152,2000,120,300,150,"{'threads': 60, 'replies': 15, 'images': 15}","&quot;/bant/ - International/Random&quot; is 4chan's international hanging out board, where you can have fun with Anonymous all over the world.",1,1
biz,Business & Finance,1,20,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}","&quot;/biz/ - Business &amp; Finance&quot; is 4chan's imageboard for the discussion of business and finance, and cryptocurrencies such as Bitcoin and Dogecoin.",1,1
c,Anime/Cute,1,15,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/c/ - Anime/Cute&quot; is 4chan's imageboard for cute and moe anime images.,1
cgl,Cosplay & EGL,1,15,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}","&quot;/cgl/ - Cosplay &amp; EGL&quot; is 4chan's imageboard for the discussion of cosplay, elegant gothic lolita (EGL), and anime conventions.",1
ck,Food & Cooking,1,15,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/ck/ - Food &amp; Cooking&quot; is 4chan's imageboard for food pictures and cooking recipes.,1
cm,Cute/Male,1,15,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/cm/ - Cute/Male&quot; is 4chan's imageboard for posting pictures of cute anime males.,1
co,Comics & Cartoons,1,15,10,4194304,4194304,2000,120,500,300,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/co/ - Comics &amp; Cartoons&quot; is 4chan's imageboard dedicated to the discussion of Western cartoons and comics.,1,5,1
d,Hentai/Alternative,0,15,10,4194304,4194304,2000,120,300,300,"{'threads': 600, 'replies': 60, 'images': 30}",&quot;/d/ - Hentai/Alternative&quot; is 4chan's imageboard for alternative hentai images.,1
diy,Do It Yourself,1,15,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}","&quot;/diy/ - Do It Yourself&quot; is 4chan's imageboard for DIY/do it yourself projects, home improvement, and makers.",1
e,Ecchi,0,15,10,4194304,4194304,2000,120,300,300,"{'threads': 600, 'replies': 60, 'images': 30}",&quot;/e/ - Ecchi&quot; is 4chan's imageboard for suggestive (ecchi) hentai images.,1
f,Flash,0,30,1,10485760,4194304,2000,120,300,300,"{'threads': 600, 'replies': 60, 'images': 30}",&quot;/f/ - Flash&quot; is 4chan's upload board for sharing Adobe Flash files (SWFs).
fa,Fashion,1,15,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/fa/ - Fashion&quot; is 4chan's imageboard for images and discussion relating to fashion and apparel.,1
fit,Fitness,1,15,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}","&quot;/fit/ - Fitness&quot; is 4chan's imageboard for weightlifting, health, and fitness.",1
g,Technology,1,15,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}","&quot;/g/ - Technology&quot; is 4chan's imageboard for discussing computer hardware and software, programming, and general technology.",1,1
gd,Graphic Design,1,15,10,8388608,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/gd/ - Graphic Design&quot; is 4chan's imageboard for graphic design.,1
gif,Adult GIF,0,15,10,4194304,4194304,2000,300,300,300,"{'threads': 600, 'replies': 60, 'images': 30}",&quot;/gif/ - Adult GIF&quot; is 4chan's imageboard dedicated to animated adult GIFs and WEBMs.,1,1
h,Hentai,0,15,10,4194304,4194304,2000,120,300,300,"{'threads': 600, 'replies': 60, 'images': 30}",&quot;/h/ - Hentai&quot; is 4chan's imageboard for adult Japanese anime hentai images.,1
hc,Hardcore,0,15,10,8388608,4194304,2000,120,300,300,"{'threads': 600, 'replies': 60, 'images': 30}",&quot;/hc/ - Hardcore&quot; is 4chan's imageboard for the posting of adult hardcore pornography.,1,500,500
his,History & Humanities,1,15,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/his/ - History &amp; Humanities&quot; is 4chan's board for discussing and debating history.,1
hm,Handsome Men,0,15,10,8388608,4194304,2000,120,300,150,"{'threads': 600, 'replies': 60, 'images': 30}",&quot;/hm/ - Handsome Men&quot; is 4chan's imageboard dedicated to sharing adult images of handsome men.,1
hr,High Resolution,0,15,10,8388608,4194304,2000,120,300,300,"{'threads': 600, 'replies': 60, 'images': 30}",&quot;/hr/ - High Resolution&quot; is 4chan's imageboard for the sharing of high resolution images.,1,1000,1000
i,Oekaki,0,15,10,4194304,4194304,2000,120,300,300,"{'threads': 600, 'replies': 60, 'images': 30}",&quot;/i/ - Oekaki&quot; is 4chan's oekaki board for drawing and sharing art.,1,1
ic,Artwork/Critique,0,15,10,4194304,4194304,2000,120,300,300,"{'threads': 600, 'replies': 60, 'images': 30}",&quot;/ic/ - Artwork/Critique&quot; is 4chan's imageboard for the discussion and critique of art.,1
int,International,1,15,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}","&quot;/int/ - International&quot; is 4chan's international board, for the exchange of foreign language and culture.",1,1
jp,Otaku Culture,1,15,10,4194304,4194304,5000,120,310,300,"{'threads': 3600, 'replies': 60, 'images': 60}",&quot;/jp/ - Otaku Culture&quot; is 4chan's board for discussing Japanese otaku culture.,1,1,1,1
k,Weapons,1,15,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}","&quot;/k/ - Weapons&quot; is 4chan's imageboard for discussing all types of weaponry, from military tanks to guns and knives.",1
lgbt,LGBT,1,15,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/lgbt/ - LGBT&quot; is 4chan's imageboard for Lesbian-Gay-Bisexual-Transgender-Queer and sexuality discussion.,1
lit,Literature,1,15,10,4194304,4194304,3000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}","&quot;/lit/ - Literature&quot; is 4chan's board for the discussion of books, authors, and literature.",1,1,1
m,Mecha,1,15,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}","&quot;/m/ - Mecha&quot; is 4chan's imageboard for discussing Japanese mecha robots and anime, like Gundam and Macross.",1,4,1
mlp,Pony,1,15,10,4194304,4194304,3000,120,500,300,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/mlp/ - Pony&quot; is 4chan's imageboard dedicated to the discussion of My Little Pony: Friendship is Magic.,1,1,1,"{'4CC': '4cc /mlp/', 'ADA': 'Adagio Dazzle', 'AN': 'Anon', 'ANF': 'Anonfilly', 'APB': 'Apple Bloom', 'AJ': 'Applejack', 'AB': 'Aria Blaze', 'AU': 'Autumn Blaze', 'BB': 'Bon Bon', 'BM': 'Big Mac', 'BP': 'Berry Punch', 'BS': 'Babs Seed', 'CL': 'Changeling', 'CO': 'Coco Pommel', 'CG': 'Cozy Glow', 'CHE': 'Cheerilee', 'CB': 'Cherry Berry', 'DAY': 'Daybreaker', 'DD': 'Daring Do', 'DER': 'Derpy Hooves', 'DT': 'Diamond Tiara', 'DIS': 'Discord', 'EQA': 'EqG Applejack', 'EQF': 'EqG Fluttershy', 'EQP': 'EqG Pinkie Pie', 'EQR': 'EqG Rainbow Dash', 'EQT': 'EqG Trixie', 'EQI': 'EqG Twilight Sparkle', 'EQS': 'EqG Sunset Shimmer', 'ERA': 'EqG Rarity', 'FAU': 'Fausticorn', 'FLE': 'Fleur de lis', 'FL': 'Fluttershy', 'GI': 'Gilda', 'HT': 'Hitch Trailblazer', 'IZ': 'Izzy Moonbow', 'LI': 'Limestone', 'LT': 'Lord Tirek', 'LY': 'Lyra Heartstrings', 'MA': 'Marble', 'MAU': 'Maud', 'MIN': 'Minuette', 'NI': 'Nightmare Moon', 'NUR': 'Nurse Redheart', 'OCT': 'Octavia', 'PAR': 'Parasprite', 'PC': 'Princess Cadance', 'PCE': 'Princess Celestia', 'PI': 'Pinkie Pie', 'PLU': 'Princess Luna', 'PM': 'Pinkamena', 'PP': 'Pipp Petals', 'QC': 'Queen Chrysalis', 'RAR': 'Rarity', 'RD': 'Rainbow Dash', 'RLU': 'Roseluck', 'S1L': 'S1 Luna', 'SCO': 'Scootaloo', 'SHI': 'Shining Armor', 'SIL': 'Silver Spoon', 'SON': 'Sonata Dusk', 'SP': 'Spike', 'SPI': 'Spitfire', 'SS': 'Sunny Starscout', 'STA': 'Star Dancer', 'STL': 'Starlight Glimmer', 'SPT': 'Sprout', 'SUN': 'Sunburst', 'SUS': 'Sunset Shimmer', 'SWB': 'Sweetie Belle', 'TFA': 'TFH Arizona', 'TFO': 'TFH Oleander', 'TFP': 'TFH Paprika', 'TFS': 'TFH Shanty', 'TFT': 'TFH Tianhuo', 'TFV': 'TFH Velvet', 'TP': 'TFH Pom', 'TS': 'Tempest Shadow', 'TWI': 'Twilight Sparkle', 'TX': 'Trixie', 'VS': 'Vinyl Scratch', 'ZE': 'Zecora', 'ZS': 'Zipp Storm'}"
mu,Music,1,15,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/mu/ - Music&quot; is 4chan's imageboard for discussing all types of music.,1
n,Transportation,1,15,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/n/ - Transportation&quot; is 4chan's imageboard for discussing modes of transportation like trains and bicycles.,1
news,Current News,1,15,10,4194304,4194304,2000,120,500,300,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/news/ - Current News; is 4chan's board for current news. ,1,1,1,1,1
o,Auto,1,15,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/o/ - Auto&quot; is 4chan's imageboard for discussing cars and motorcycles.,1
out,Outdoors,1,15,10,5242880,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/out/ - Outdoors&quot; is 4chan's imageboard for discussing survivalist skills and outdoor activities such as hiking.,1
p,Photography,1,15,10,5242880,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/p/ - Photography&quot; is 4chan's imageboard for sharing and critiquing photos.,1
po,Papercraft & Origami,1,15,10,8388608,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/po/ - Papercraft &amp; Origami&quot; is 4chan's imageboard for posting papercraft and origami templates and instructions.,1
pol,Politically Incorrect,0,20,10,4194304,4194304,2000,120,300,300,"{'threads': 90, 'replies': 30, 'images': 30}",&quot;/pol/ - Politically Incorrect&quot; is 4chan's board for discussing and debating politics and current events.,1,1,1,"{'AC': 'Anarcho-Capitalist', 'AN': 'Anarchist', 'BL': 'Black Nationalist', 'CF': 'Confederate', 'CM': 'Communist', 'CT': 'Catalonia', 'DM': 'Democrat', 'EU': 'European', 'FC': 'Fascist', 'GN': 'Gadsden', 'GY': 'Gay', 'JH': 'Jihadi', 'KN': 'Kekistani', 'MF': 'Muslim', 'NB': 'National Bolshevik', 'NT': 'NATO', 'NZ': 'Nazi', 'PC': 'Hippie', 'PR': 'Pirate', 'RE': 'Republican', 'MZ': 'Task Force Z', 'TM': 'Templar', 'TR': 'Tree Hugger', 'UN': 'United Nations', 'WP': 'White Supremacist'}"
pw,Professional Wrestling,1,15,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/pw/ - Professional Wrestling&quot; is 4chan's imageboard for the discussion of professional wrestling.,1
qa,Question & Answer,1,15,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/qa/ - Question &amp; Answer&quot; is 4chan's imageboard for question and answer threads.,1
qst,Quests,1,15,10,8388608,4194304,3000,120,750,375,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/qst/ - Quests&quot; is 4chan's imageboard for grinding XP.,1,1,1,1,1
r,Adult Requests,0,15,10,8388608,4194304,2000,120,300,300,"{'threads': 600, 'replies': 60, 'images': 30}",&quot;/r/ - Request&quot; is 4chan's imageboard dedicated to fulfilling all types of user requests.,1,1
r9k,ROBOT9001,0,15,10,4194304,4194304,2000,120,500,150,"{'threads': 600, 'replies': 60, 'images': 30}",&quot;/r9k/ - ROBOT9001&quot; is a board for hanging out and posting greentext stories.,1,1
s,Sexy Beautiful Women,0,15,10,8388608,4194304,2000,120,300,150,"{'threads': 600, 'replies': 60, 'images': 30}",&quot;/s/ - Sexy Beautiful Women&quot; is 4chan's imageboard dedicated to sharing images of softcore pornography.,1,500,500
s4s,Shit 4chan Says,0,15,10,2097152,4194304,2000,120,300,300,"{'threads': 300, 'replies': 60, 'images': 30}",&quot;[s4s] - Shit 4chan Says&quot; is 4chan's imageboard for posting dank memes :^),1,6,1
sci,Science & Math,1,15,10,4194304,4194304,2000,120,310,250,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/sci/ - Science &amp; Math&quot; is 4chan's board for the discussion of science and math.,1,1
soc,Cams & Meetups,0,15,10,5242880,4194304,2000,120,500,300,"{'threads': 600, 'replies': 60, 'images': 30}",&quot;/soc/ - Cams &amp; Meetups&quot; is 4chan's board for camwhores and meetups.,1,1
sp,Sports,1,15,10,4194304,4194304,2000,120,500,300,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/sp/ - Sports&quot; is 4chan's imageboard for sports discussion.,1,1
t,Torrents,0,15,10,4194304,4194304,2000,120,300,300,"{'threads': 600, 'replies': 60, 'images': 30}",&quot;/t/ - Torrents&quot; is 4chan's imageboard for posting links and descriptions to torrents.,1
tg,Traditional Games,1,15,10,8388608,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}","&quot;/tg/ - Traditional Games&quot; is 4chan's imageboard for discussing traditional gaming, such as board games and tabletop RPGs.",1,2,1
toy,Toys,1,15,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/toy/ - Toys&quot; is 4chan's imageboard for talking about all kinds of toys!,1
trash,Off-Topic,0,15,10,4194304,4194304,2000,120,300,300,"{'threads': 600, 'replies': 60, 'images': 30}",&quot;/trash/ - Off-topic&quot; is 4chan's imageboard jail for off-topic threads.
trv,Travel,1,15,10,8388608,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/trv/ - Travel&quot; is 4chan's imageboard dedicated to travel and the countries of the world.,1
tv,Television & Film,1,15,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/tv/ - Television &amp; Film&quot; is 4chan's imageboard dedicated to the discussion of television and film.,1,5,1
u,Yuri,0,15,10,4194304,4194304,2000,120,300,300,"{'threads': 600, 'replies': 60, 'images': 30}",&quot;/u/ - Yuri&quot; is 4chan's imageboard for yuri hentai images.,1,1
v,Video Games,1,20,10,4194304,4194304,2000,120,500,300,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/v/ - Video Games&quot; is 4chan's imageboard dedicated to the discussion of PC and console video games.,1,1,1
vg,Video Game Generals,1,20,10,4194304,4194304,2000,120,750,375,"{'threads': 600, 'replies': 90, 'images': 120}",&quot;/vg/ - Video Game Generals&quot; is 4chan's imageboard dedicated to the discussion of PC and console video games.,1,1,1,1
vip,Very Important Posts,1,15,10,4194304,4194304,2000,120,300,300,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/vip/ - Very Important Posts&quot; is 4chan's imageboard for Pass users.,1,1,1,1
vm,Video Games/Multiplayer,1,15,10,4194304,4194304,2000,120,500,300,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/vmg/ - Video Games/Multiplayer&quot; is 4chan's imageboard dedicated to the discussion of multiplayer video games.,1,1,1
vmg,Video Games/Mobile,1,15,10,4194304,4194304,2000,120,500,300,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/vmg/ - Video Games/Mobile&quot; is 4chan's imageboard dedicated to the discussion of video games on mobile devices.,1,3,1
vp,Pokémon,1,15,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/vp/ - Pok&eacute;mon&quot; is 4chan's imageboard dedicated to discussing the Pok&eacute;mon series of video games and shows.,1,1,1
vr,Retro Games,1,15,10,4194304,4194304,2000,120,500,300,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/vr/ - Retro Games&quot; is 4chan's imageboard for discussing retro console video games and classic arcade games.,1,2,1
vrpg,Video Games/RPG,1,15,10,4194304,4194304,2000,120,500,300,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/vrpg/ - Video Games/RPG&quot; is 4chan's imageboard dedicated to the discussion of role-playing video games.,1,3,1
vst,Video Games/Strategy,1,15,10,4194304,4194304,2000,120,500,300,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/vst/ - Video Games/Strategy&quot; is 4chan's imageboard dedicated to the discussion of strategy video games.,1,1,1
vt,Virtual YouTubers,1,15,10,4194304,4194304,5000,120,310,300,"{'threads': 3600, 'replies': 60, 'images': 60}",&quot;/vt/ - Virtual YouTubers&quot; is 4chan's board for discussing virtual YouTubers (&quot;VTubers&quot;).,1,3,1
w,Anime/Wallpapers,1,15,10,6291456,4194304,2000,120,310,300,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/w/ - Anime/Wallpapers&quot; is 4chan's imageboard for posting Japanese anime wallpapers.,1,480,600
wg,Wallpapers/General,0,15,10,6291456,4194304,2000,120,300,300,"{'threads': 600, 'replies': 60, 'images': 30}",&quot;/wg/ - Wallpapers/General&quot; is 4chan's imageboard for posting general wallpapers.,1,480,600
wsg,Worksafe GIF,1,15,10,6291456,6291456,2000,400,310,150,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/wsg/ - Worksafe GIF&quot; is 4chan's imageboard dedicated to sharing worksafe animated GIFs and WEBMs.,1,1
wsr,Worksafe Requests,1,15,10,8388608,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/wsr/ - Worksafe Requests&quot; is 4chan's imageboard dedicated to fulfilling non-NSFW requests.,1,1
x,Paranormal,1,15,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}","&quot;/x/ - Paranormal&quot; is 4chan's imageboard for the discussion of paranormal, spooky pictures and conspiracy theories.",1
xs,Extreme Sports,1,15,10,4194304,4194304,2000,120,310,150,"{'threads': 600, 'replies': 60, 'images': 60}",&quot;/xs/ - Extreme Sports&quot; is 4chan's imageboard imageboard dedicated to the discussion of extreme sports.,1
y,Yaoi,0,15,10,4194304,4194304,2000,120,300,300,"{'threads': 600, 'replies': 60, 'images': 30}",&quot;/y/ - Yaoi&quot; is 4chan's imageboard for posting adult yaoi hentai images.,1
